"gRaw","tRaw","gVal","tVal","type","readTime","sensorTime","estDriftMin","estDriftMax","estTimeStamp","sensorID"
"1136","24624","8.696592","24.331","1","1511560599","25500","0","0","1511530899","M0002C2Z30"
"1207","25092","9.411853","24.0502","1","1511560599","25500","0","0","1511531799","M0002C2Z30"
"1343","25116","10.781926","24.035799","1","1511560599","25500","0","0","1511532699","M0002C2Z30"
"1503","25052","12.393779","24.0742","1","1511560599","25500","0","0","1511533599","M0002C2Z30"
"1788","24540","15.264889","26.838999","1","1511560599","25500","0","0","1511534499","M0002C2Z30"
"1879","24452","16.18163","26.8918","1","1511560599","25500","0","0","1511535399","M0002C2Z30"
"1932","25056","16.715555","24.0718","1","1511560599","25500","0","0","1511536299","M0002C2Z30"
"2169","40472","19.103111","27.110199","1","1511560599","25500","0","0","1511537199","M0002C2Z30"
"2331","6468","20.735111","27.851799","1","1511560599","25500","0","0","1511538099","M0002C2Z30"
"2314","6352","20.56385","27.9214","1","1511560599","25500","0","0","1511538999","M0002C2Z30"
"2191","6396","19.324741","27.895","1","1511560599","25500","0","0","1511539899","M0002C2Z30"
"2221","6348","19.626963","27.9238","1","1511560599","25500","0","0","1511540799","M0002C2Z30"
"1920","6308","16.594667","27.9478","1","1511560599","25500","0","0","1511541699","M0002C2Z30"
"1861","6348","16.000298","27.9238","1","1511560599","25500","0","0","1511542599","M0002C2Z30"
"1874","6316","16.13126","27.942999","1","1511560599","25500","0","0","1511543499","M0002C2Z30"
"1750","6308","14.882073","27.9478","1","1511560599","25500","0","0","1511544399","M0002C2Z30"
"1605","6272","13.421334","27.9694","1","1511560599","25500","0","0","1511545299","M0002C2Z30"
"1344","6272","10.792001","27.9694","1","1511560599","25500","0","0","1511546199","M0002C2Z30"
"984","6340","7.165334","27.9286","1","1511560599","25500","0","0","1511547099","M0002C2Z30"
"804","6484","5.352","27.8422","1","1511560599","25500","0","0","1511547999","M0002C2Z30"
"949","6508","6.8127418","27.827799","1","1511560599","25500","0","0","1511548899","M0002C2Z30"
"1089","6460","8.223111","27.8566","1","1511560599","25500","0","0","1511549799","M0002C2Z30"
"1038","6524","7.7093334","27.8182","1","1511560599","25500","0","0","1511550699","M0002C2Z30"
"1003","55840","7.356742","27.719799","1","1511560599","25500","0","0","1511551599","M0002C2Z30"
"1010","40448","7.4272594","27.1246","1","1511560599","25500","0","0","1511552499","M0002C2Z30"
"791","6608","5.221037","27.7678","1","1511560599","25500","0","0","1511553399","M0002C2Z30"
"790","56112","5.2109637","27.556599","1","1511560599","25500","0","0","1511554299","M0002C2Z30"
"892","40592","6.2385197","27.0382","1","1511560599","25500","0","0","1511555199","M0002C2Z30"
"0","0","-2.7475557","29.275","1","1511560599","25500","0","0","1511556099","M0002C2Z30"
"0","0","-2.7475557","29.275","1","1511560599","25500","0","0","1511556999","M0002C2Z30"
"0","0","-2.7475557","29.275","1","1511560599","25500","0","0","1511557899","M0002C2Z30"
"0","0","-2.7475557","29.275","1","1511560599","25500","0","0","1511558799","M0002C2Z30"
"1115","24596","8.485037","24.3478","0","1511560599","25500","0","0","1511559699","M0002C2Z30"
"1119","24576","8.525333","24.359798","0","1511560599","25500","0","0","1511559759","M0002C2Z30"
"1125","24592","8.585778","24.350199","0","1511560599","25500","0","0","1511559819","M0002C2Z30"
"1131","24592","8.646223","24.350199","0","1511560599","25500","0","0","1511559879","M0002C2Z30"
"1135","24624","8.68652","24.331","0","1511560599","25500","0","0","1511559939","M0002C2Z30"
"1142","24640","8.757038","24.3214","0","1511560599","25500","0","0","1511559999","M0002C2Z30"
"1147","24676","8.807408","24.299799","0","1511560599","25500","0","0","1511560059","M0002C2Z30"
